id,flag,lk_store_id,store,si_store_id,alt_store_name_catch,status,store_open_status,store_pickup_available,brand_lk_jj,store_type_labels,location_type_labels,address_full,address_line_1,address_line_2,address_locality,address_landmark,address_city,address_state,address_pin_code,address_country,latitude,longitude,wp_db_id,place_id,google_cid_g,flaberry_place_id_ur,fb_page_id,appointment_url,store_email,store_virtual_number,store_phone,business_hours_openi,business_hours_closi,store_manager_name,store_manager_mobile,payment_types,parking_options,store_opening_date,store_size,single_interface_sto,slug,lenskart_store_page_,google_maps_url,google_search_url,google_review_url,bing,foursquare_url,yalwa_url,dealsnyou_url,magicpin_url,review_short_url,map_short_url,from_the_brand,labels,busy_hours,slightly_hours,serviceOptions,store_front_image,is_union_territory,created_at,updated_at,running_status,ratingAndReviewCount,distance
769,,LKST634,,,Mudichur,,1,True,Lenskart,COCO,High Street,"No 20, Rathana Complex, Sri Ram Nagar, Mudichur Road, Tambaram West, Mudichur, Next To More Supre Market, Chennai, Tamil Nadu, 600045","No 20, Rathana Complex, Sri Ram Nagar","Mudichur Road, Tambaram West",Mudichur,Next to More Supre Market,Chennai,Tamil Nadu,600045,India,12.919790,80.087303,,ChIJZVBbA071UjoRFKJ_dp2r4q0,12529765806084432404,,,lskt.me/A634,mudichur.chennai@lenskartstore.com,9319372753,4443583148,11:00 AM,09:30 PM,a,a,,Free parking on site,a,a,https://stores.lenskart.com/lenskart-com-Mudichur-Mudichur-Chennai-398362/Home#book,lenskart-com-mudichur-mudichur-chennai-398362,,https://maps.google.com/maps?cid=12529765806084432404,https://local.google.com/place?id=12529765806084432404&use=srp,https://search.google.com/local/writereview?placeid=ChIJZVBbA071UjoRFKJ_dp2r4q0,,,,,,lskt.me/R1634,lskt.me/L1634,,,,,"{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",https://my-lkstore.lenskart.com/store_locator_image/LKST634/1.jpeg,0,2021-02-11 00:00:00,2023-09-18 10:19:24,1,"{'averageRating': '4.9', 'totalReviews': 1241}",
1284,,LKST1193,,,Nungambakkam,,1,True,Lenskart,COCO,High Street,"Door No 125/1, Rose Wood Office, Nungambakkam High Road, Nungambakkam, Opposite Teresa Church, Chennai, Tamil Nadu, 600034","Door No 125/1, Rose Wood Office",Nungambakkam High Road,Nungambakkam,Opposite Teresa Church,Chennai,Tamil Nadu,600034,India,13.054764,80.249722,,ChIJR_imfphnUjoR92aBI-R6Uao,12272725579828127479,,,lskt.me/A1193,nungambakkamnew.chennai@lenskartstore.com,8929346301,4448061119,11:00 AM,09:30 PM,SURENDAR S,9789263986,,Available,a,a,https://stores.lenskart.com/lenskart-com-Nungambakkam-Nungambakkam-Chennai-102083/Home#book,lenskart-com-nungambakkam-nungambakkam-chennai-102083,,https://maps.google.com/maps?cid=12272725579828127479,https://local.google.com/place?id=12272725579828127479&use=srp,https://search.google.com/local/writereview?placeid=ChIJR_imfphnUjoR92aBI-R6Uao,,,,,,lskt.me/RVLKST1193,lskt.me/MLKST1193,,,,,"{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",,0,2022-05-23 00:00:00,2023-01-23 15:13:31,1,"{'averageRating': '4.9', 'totalReviews': 1996}",
261,1,LKST107,1107,100180107,Jawahar Nagar,Active,1,True,Lenskart,COCO,High Street,"Plot No B95, Old Door 37, New Door 22, First Main Road, Jawahar Nagar, Near Max Showroom, Chennai, Tamil Nadu, 600082","Plot No B95, Old Door 37, New Door 22",First Main Road,Jawahar Nagar,Near Max Showroom,Chennai,Tamil Nadu,600082,India,13.11275,80.2299239,3257,ChIJdTLpW15kUjoRFg3Sep7k2pY,10870252019928665366,http://places.flaberry.com/?place_id=ChIJdTLpW15kUjoRFg3Sep7k2pY,F410562049694674,lskt.me/A107,jawaharnagar.chennai@lenskart.in,7428891107,4447943259,11:00 AM,09:30 PM,Karthikeyan,4448618499,"Cash, Master Card, Debit Card, Visa",Free parking on site,01-05-2017,430,https://stores.lenskart.com/optometrist-sunglasses-Jawahar-Nagar-Chennai-60854/Home#book,optometrist-sunglasses-jawahar-nagar-chennai-60854,https://www.lenskart.com/optical-store/chennai/jawahar-nagar,https://maps.google.com/maps?cid=10870252019928665366,https://local.google.com/place?id=10870252019928665366&use=srp,https://search.google.com/local/writereview?placeid=ChIJdTLpW15kUjoRFg3Sep7k2pY,http://www.bing.com/maps?ss=ypid.YN4070x12318944403938943680&mkt=en-IN,https://foursquare.com/v/lenskartcom/5c831184bcbf7a002cca7767,https://chennai.yalwa.in/ID_136237505/Lenskart-com.html,http://www.dealsandyou.com/vendor/lenskartcom-28202,active,lskt.me/R1107,lskt.me/L1107,"Lenskart.com is now at Jawahar Nagar, LKST107. Lenskart is India's fastest growing eyewear business with over 500 optical stores around the country. Our mission is to give vision to every Indian at affordable price. We have over 5000 styles of eyewear, fr",Metro,"07:00 PM,07:30 PM,06:00 PM,06:30 PM,08:00 PM,08:30 PM","05:00 PM,05:30 PM,11:00 AM,11:30 AM","{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",,0,,2024-02-02 16:38:44,1,"{'averageRating': '4.9', 'totalReviews': 1127}",
262,1,LKST108,1108,100190108,Perumbakkam,Active,1,True,Lenskart,COCO,High Street,"G1, Plot No 3, Vgp Prabhu Nagar, Perumbakkam, Opposite Advent Church, Chennai, Tamil Nadu, 600100","G1, Plot No 3, VGP Prabhu Nagar",,Perumbakkam,Opposite Advent Church,Chennai,Tamil Nadu,600100,India,12.9076547,80.2009079,3255,ChIJ595xhwVcUjoRSRpB4Qsh16s,12382402035385965129,http://places.flaberry.com/?place_id=ChIJ595xhwVcUjoRSRpB4Qsh16s,F1478169032224137,lskt.me/A108,perumbakkam.chennai@lenskart.mobi,7428891108,4447682948,11:00 AM,09:00 PM,Jayanthan anbarasu,4448527099,"Cash, Master Card, Debit Card, Visa",Free Parking Available,01-06-2017,800,https://stores.lenskart.com/optometrist-sunglasses-Perumbakkam-Kanchipuram-60855/Home#book,optometrist-sunglasses-perumbakkam-kanchipuram-60855,https://www.lenskart.com/optical-store/chennai/perumbakkam,https://maps.google.com/maps?cid=12382402035385965129,https://local.google.com/place?id=12382402035385965129&use=srp,https://search.google.com/local/writereview?placeid=ChIJ595xhwVcUjoRSRpB4Qsh16s,http://www.bing.com/maps?ss=ypid.YN4070x6813776041276377816&mkt=en-IN,https://foursquare.com/v/lenskartcom/5cb6b2dd06fb60002c101046,https://tamilnadu.yalwa.in/ID_136237506/Lenskart-com.html,http://www.dealsandyou.com/vendor/lenskartcom-28203,active,lskt.me/R1108,lskt.me/L1108,"Lenskart.com is now at Perumbakkam, LKST108. Lenskart is India's fastest growing eyewear business with over 500 optical stores around the country. Our mission is to give vision to every Indian at affordable price. We have over 5000 styles of eyewear, from",Metro,"06:00 PM,06:30 PM,04:00 PM,04:30 PM,05:00 PM,05:30 PM","11:00 AM,11:30 AM,07:00 PM,07:30 PM","{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",https://my-lkstore.lenskart.com/store_locator_image/LKST108/WhatsApp%20Image%202019-12-19%20at%202.35.05%20PM.jpeg,0,,2024-04-04 12:57:45,1,"{'averageRating': '4.9', 'totalReviews': 1661}",
1290,,LKST1222,,,100ft Bypass Road Velachery,,1,True,Lenskart,COCO,High Street,"No 1 & 2 Main Road, Venkateswara Nagar, 100Ft Bypass Road, Velachery, Chennai, Tamil Nadu, 600042","No 1 & 2 Main Road, Venkateswara Nagar","100ft Bypass Road, Velachery",Velachery,,Chennai,Tamil Nadu,600042,India,12.9810261,80.2183351,,ChIJAyOWG3RdUjoR0-TC8Zh_eqE,11635752882132935891,,,lskt.me/A1222,velachery2.chennai@lenskartstore.com,8929345177,4445502138,11:00 AM,09:30 PM,Somasundaram,8072592010,,Available,a,a,https://stores.lenskart.com/lenskart-com-100ft-Bypass-Road-Velachery-Velachery-Chennai-429561/Home#book,lenskart-com-100ft-bypass-road-velachery-velachery-chennai-429561,,https://maps.google.com/maps?cid=11635752882132935891,https://local.google.com/place?id=11635752882132935891&use=srp,https://search.google.com/local/writereview?placeid=ChIJAyOWG3RdUjoR0-TC8Zh_eqE,,,,,,lskt.me/RVLKST1222,lskt.me/MLKST1222,,,,,"{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",,0,2022-06-02 00:00:00,2024-02-28 14:33:50,1,"{'averageRating': '4.9', 'totalReviews': 1475}",
782,,LKST615,,,Saligramam,,1,True,Lenskart,COCO,High Street,"No 71, 1, Arcot Road, Vadapalani, Vadapalani, Chennai, Tamil Nadu, 600026","No 71, 1","Arcot Road, Vadapalani",Vadapalani,,Chennai,Tamil Nadu,600026,India,13.048188,80.2044208,,ChIJ73D2WkRnUjoRBRJlDy0NEQg,581260314090476037,,,lskt.me/A615,saligramanarcotroad.chennai@lenskartstore.com,7303440441,4443054598,11:00 AM,09:30 PM,Venkatesan,9597712385,,Free Parking on Site,a,a,https://stores.lenskart.com/lenskart-com-Saligramam-Vadapalani-Chennai-920836/Home#book,lenskart-com-saligramam-vadapalani-chennai-920836,,https://maps.google.com/maps?cid=581260314090476037,https://local.google.com/place?id=581260314090476037&use=srp,https://search.google.com/local/writereview?placeid=ChIJ73D2WkRnUjoRBRJlDy0NEQg,,,,,,lskt.me/R1615,lskt.me/L1615,,,,,"{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",https://my-lkstore.lenskart.com/store_locator_image/LKST615/1.jpeg,0,2021-02-22 00:00:00,2023-01-23 15:13:30,1,"{'averageRating': '4.9', 'totalReviews': 2160}",
786,,LKST657,,,Redhills,,1,True,Lenskart,COCO,High Street,"183/16 Gnt Road, Redhills, Near Annamalai Cell City, Chennai, Tamil Nadu, 600052","183/16 GNT Road, Redhills",,Redhills,Near Annamalai Cell City,Chennai,Tamil Nadu,600052,India,13.18988,80.18723,,ChIJ4_Q09759UjoRD7lYVUaYXyQ,2620980935999928591,,,lskt.me/A657,redhills.chennai@lenskartstore.com,9319372360,4442812599,10:30 AM,09:30 PM,Mouleeshwaran R,7010195522,,Free Parking on Site,a,a,https://stores.lenskart.com/lenskart-com-Redhills-Redhills-Chennai-934324/Home#book,lenskart-com-redhills-redhills-chennai-934324,,https://maps.google.com/maps?cid=2620980935999928591,https://local.google.com/place?id=2620980935999928591&use=srp,https://search.google.com/local/writereview?placeid=ChIJ4_Q09759UjoRD7lYVUaYXyQ,,,,,,lskt.me/R1657,lskt.me/L1657,,,,,"{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",https://my-lkstore.lenskart.com/store_locator_image/LKST657/1.jpeg,0,2021-02-23 00:00:00,2023-01-23 15:13:30,1,"{'averageRating': '4.9', 'totalReviews': 1408}",
1301,,LKST1088,,,Nanganallur,,1,True,Lenskart,COCO,High Street,"38/13, 1St Main Road, Macmillan Colony, Nanganallur, Chennai, Tamil Nadu, 600061","38/13, 1st Main Road","Macmillan Colony, Nanganallur",Nanganallur,,Chennai,Tamil Nadu,600061,India,12.9829185,80.1904023,,ChIJH2tsCUVdUjoR3lFmpA2ET3g,8669293001839104478,,,lskt.me/A1088,nanganallur.chennai1@lenskartstore.com ,9667253254,4442865441,11:00 AM,09:30 PM,Baskar,7604839613,,Avvailable,a,a,https://stores.lenskart.com/lenskart-com-Nanganallur-Nanganallur-Chennai-557915/Home#book,lenskart-com-nanganallur-nanganallur-chennai-557915,,https://maps.google.com/maps?cid=8669293001839104478,https://local.google.com/place?id=8669293001839104478&use=srp,https://search.google.com/local/writereview?placeid=ChIJH2tsCUVdUjoR3lFmpA2ET3g,,,,,,lskt.me/RVLKST1088,lskt.me/MLKST1088,,,,,"{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",,0,2022-06-10 00:00:00,2024-01-15 15:18:42,1,"{'averageRating': '4.9', 'totalReviews': 3628}",
1309,,LKST1160,,,Perambur Moolakadai,,1,True,Lenskart,COCO,High Street,"No 14, Madhavaram High Road Sembiam, Moolakadai, Perambur Road, Madhavaram, Opposite Simpon Gate No 1, Chennai, Tamil Nadu, 600011","No 14, Madhavaram High Road Sembiam","Moolakadai, Perambur Road",Madhavaram,Opposite Simpon Gate No 1,Chennai,Tamil Nadu,600011,India,13.125548,80.241819,,ChIJ1aBKhPRlUjoRaNsDNYJT6gE,138014557288520552,,,lskt.me/A1160,Peramburmadhavaramhighroad.chennai@lenskartstore.com,8929328704,4443840065,11:00 AM,09:30 PM,Mr.Saravan,9176273696,,Available,a,a,https://stores.lenskart.com/lenskart-com-Perambur-Road-Madavaram-Madavaram-Chennai-139797/Home#book,lenskart-com-perambur-road-madavaram-madavaram-chennai-139797,,https://maps.google.com/maps?cid=138014557288520552,https://local.google.com/place?id=138014557288520552&use=srp,https://search.google.com/local/writereview?placeid=ChIJ1aBKhPRlUjoRaNsDNYJT6gE,,,,,,lskt.me/RLKST1160,lskt.me/MLKST1160,,,,,"{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",https://my-lkstore.lenskart.com/store_locator_image/LKST1160/1.jpeg,0,2022-06-14 00:00:00,2024-02-02 16:40:55,1,"{'averageRating': '4.9', 'totalReviews': 1935}",
799,,LKST715,,,Selaiyur,,1,True,Lenskart,COCO,High Street,"27, Agaram Main Road, Ranganatha Nagar, Selaiyur, Chennai, Tamil Nadu, 600073","27, Agaram Main Road, Ranganatha Nagar, Selaiyur",,Selaiyur,Next to New Gen pharmacy,Chennai,Tamil Nadu,600073,India,12.91044,80.14317,,ChIJAcEd7JFfUjoR-528hz_5izg,4074624339142286843,,,lskt.me/A715,selaiyur.chennai@lenskartstore.com,9319375434,7824834782,11:00 AM,09:30 PM,a,a,,a,a,a,https://stores.lenskart.com/lenskart-com-Selaiyur-Selaiyur-Chennai-518733/Home#book,lenskart-com-selaiyur-selaiyur-chennai-518733,,https://maps.google.com/maps?cid=4074624339142286843,https://local.google.com/place?id=4074624339142286843&use=srp,https://search.google.com/local/writereview?placeid=ChIJAcEd7JFfUjoR-528hz_5izg,,,,,,lskt.me/R1715,lskt.me/L1715,,,,,"{'1': 'Eye Test', '5': 'Repair', '6': 'Purchase'}",https://my-lkstore.lenskart.com/store_locator_image/LKST715/1.jpeg,0,2021-03-09 00:00:00,2024-03-05 14:56:45,1,"{'averageRating': '4.9', 'totalReviews': 1529}",
